Abe Ease Seize Supports	ABC Sports
Loss Vague Ask Hussy Know	Las Vegas Casino
Nuke Id Sun Deep Lock	New Kids On The Block
Dawned Pea Hugger Limb Ann	Don't Be A Girly Man
Chest Beat Wean Husk Hurls	Just Between Us Girls
You Knee Verse Sails Duty Owes	Universal Studios
Oh Mother Men	Uma Thurman
Lose He An Up Her Chess	Louisiana Purchase
Lee Tell Louse Honda Prayer He	Little House On The Prairie
Match Hick Kate Paul	Magic 8-ball
Skoal Elastic Hap Tee Tude Taste	Scholastic Aptitude Test
Yule Lees Mime Hind	You'll Ease My Mind
Pole Eddy Clicker Wrecked	Politically Correct
Hello Win Dressed Morgue Itch	A Low-Interest Mortgage
Pitchers Heat Bell Town	Put Your Seat Belt On
High Van At Rump	Ivana Trump
Hun Door Hen Easer Come Stan Says	Under Any Circumstances
Neigh Home Eek Amp Bull	Naomi Campbell
Haft Ermine Dun Height	After Midnight
Gay Gummy Width Ace Boon	Gag Me With A Spoon
Dawned Hey Guinea Chants His	Don't Take Any Chances
Eyed Rye Fan Issue Fee	I Drive An SUV
Age Us Dissolved Deep Ease	A Justice Of The Peace
Force Ease Hun Sew Tell	Four Seasons Hotel
Iran Alt Aweigh Ohm	I Ran All The Way Home
Wrist Hush Herd	Rest Assured
Police Collar Dock Tour	Please Call A Doctor
Sin A Men Sure Grr!	Cinnamon Sugar
Cuff Hearse Dory	Cover Story
Chew Lie Thief Oath	July The Forth
Chain Solve Fad Dress	Change Of Address
Ball Stunk Lamp Shouter	Boston Clam Chowder
Bloop Lades Pay Shell	Blue Plate Special
Baby Beef Ace	Baby Face
Bah Fee Theif Amp Hires Layer	Buffy The Vampire Slayer
Ache Hatter Mia Words	Academy Awards
Share Ilk Row	Sheryl Crow
Mile Hip Czars Healed	My Lips Are Sealed
Yule Bizarre He	You'll Be Sorry
Scene Curse Whim	Sink Or Swim
Knee Gull Odie Yon	Nickelodeon
Eight Addled Ale	A Tattle Tale
Essay Madder Rough Act	As A Matter Of Fact
See Chores Elf	Seat Yourself
Pooh Purse Coo Purr	Pooper Scooper
Loaf Hem Anne Leaf Hem	Love 'Em And Leave 'Em
Sheik Hog Hope Airs	Chicago Bears
Reef Hing Off Dean Herds	Half Reed Hummed He Canary
Ewe Hardy We Gus Slink	You Are The Weakest Link
Dawn Beak Rule	Don't Be Cruel
Wad Ape Hair	What A Pair
Portal Ann Dory Gun	Portland, Oregon
Miss Turn High Sky	Mister Nice Guy
May King Gout	Making Out
Oh Gland Ray Tars	Oakland Raiders
Twin Tea Juan Dan Dover	Twenty-One And Over
These Eye Lents Softy Lamps	The Silence Of The Lambs
May Kind Thief Id He Owe	Making The Video
Filler Dell Fee Half Ill Ease	Philadelphia Phillies
Oak Abe Abe	Okay
Able Ink Gun	Abe Lincoln
Dawn Ways Might I'm	Don't Waste My Time
May Cry Inn	Meg Ryan
Gay Teak You're Hick	Katie Couric
Abe Ax Heat Rye Fur	A Back Seat Driver
Awe Mile Of	All My Love
Agree Seize Boon	A Greasy Spoon
Check Cove Fault Raids	Jack Of All Trades
Hive Cot Yearn Umber	I've Got Your Number
Owl Yukon Heat Buff Hay	All You Can Eat Buffet
These Tars Angle Ban Her	The Star Spangled Banner
Par Dummy	Pardon Me
Tour He Aim Hoss	Tori Amos
Dew June Hoe Mine Aim	Do You Know My Name?
Dew Ache Who Gulls Urge	Do A Google Search
Dawn Peek Yearn Hose	Don't Pick Your Nose
Dawn As Hummer	Donna Summer
Call Imp Howl	Colin Powell
Bun Crock Moo Sick	Punk Rock Music
Air Reek Lap Done	Eric Clapton
Ache Wrist Much Air Hull	A Christmas Carol
Ache Hand Helen Dee Win	A Candle In The Wind
